Telugu,English
టీకా,Vaccine
గుర్తింపు,Identification
శాండ్విచ్,Sandwich
ఎద్దు,Ox
లెన్స్,Lens
పన్నెండు,Twelve
ప్రధాన స్రవంతి,Mainstream
అధ్యక్షపదవి,Presidency
సమగ్రత,Integrity
విభిన్న,Different
తెలివైన,Intelligent
ద్వితీయ,Secondary
పక్షపాతం,Prejudice
పరికల్పన,Hypothesis
పదిహేను,Fifteen
నామినేషన్,Nomination
ఆలస్యం,Delay
సర్దుబాటు,Adjustment
మంజూరు,Grant
రెండర్,Render
అంగడి,Shop
ఆమోదయోగ్యమైనది,Acceptable
పరస్పరం,Mutually
అధిక,High
పరీక్ష,Test
అర్థవంతమైన,Meaningful
కమ్యూనిస్టు,Communist
ఉన్నతమైన,Superior
కరెన్సీ,Currency
సామూహిక,Collective
చిట్కా,Tip
జ్వాల,Flame
గిటార్,Guitar
సిద్దాంతము,Theory
పాలస్తీనియన్,Palestinian
తేలుతుంది,Floats
వాణిజ్యం,Trade
కనిపెట్టు,Invent
రోబోట్,Robot
వేగవంతమైన,Fast
సాదా,Plain
వరుసగా,In a row
కణం,Cell
అంతటా,Throughout
చేతి తొడుగు,Glove
వరకు,Until
సవరించు,Edit
మోస్తరు,Moderate
జాజ్,Jazz
శిశువు,Baby
సారాంశం,Summary
సర్వర్,Server
తోలు,Leather
రేడియేషన్,Radiation
ప్రాంప్ట్,Prompt
ఫంక్షన్,Function
కూర్పు,Composition
ఆపరేటింగ్,Operating
నొక్కిచెప్పండి,Emphasize
కేసు,Case
ఉపన్యాసం,Lecture
బిగ్గరగా,Loudly
డంప్,Dump
నికర,Net
వన్యప్రాణులు,Wildlife
సాకర్,Soccer
క్లిష్టమైన,Complex
ఆదేశం,Command
మానిటర్,Monitor
డౌన్ టౌన్,Downtown
పీడకల,Nightmare
బారెల్,Barrel
నిరాశ్రయుడు,Homeless
భూగోళం,Globe
అసౌకర్యంగా,Uncomfortably
అమలు,Execution
అనుభూతి,Feeling
ఉచ్చు,Trap
సంజ్ఞ,Gesture
లేత,Pale
డేరా,Tent
రిసీవర్,Receiver
హోరిజోన్,Horizon
నిర్ధారణ,Confirmation
గణనీయమైన,Substantial
సువార్త,Gospel
స్వయంచాలకంగా,Automatically
పోరాడుతున్నారు,Fighting
స్ట్రోక్,Stroke
సంచరించు,Wander
బాతు,Duck
ధాన్యం,Grain
మృగం,Beast
ఆందోళన,Anxiety
వ్యాఖ్య,Comment
బట్ట,Fabric
నాగరికత,Civilization
వెచ్చని,Warm
అవినీతి,Corruption
కూలిపోతుంది,Collapses
మేడమ్,Madam
గొప్పగా,Greatly
వర్క్ షాప్,Workshop
విచారణ,Inquiry
cd,cd
మెచ్చుకుంటారు,Appreciate
మినహాయించండి,Exclude
రైఫిల్,Rifle
గది,Room
నివేదించడం,Reporting
వంపు,Tilt
పాచ్,Patch
టచ్డౌన్,Touchdown
ప్రయోగాత్మకమైన,Experimental
సంపాదన,Earnings
వేటగాడు,Hunter
ఎగురు,Fly
సొరంగం,Tunnel
కార్ప్స్,Corps
ప్రవర్తిస్తారు,behave
అద్దెకు,For rent
జర్మన్,German
ప్రేరేపిస్తాయి,Inspire
గుణం,Quality
వృద్ధుడు,Old man
వర్చువల్,Virtual
కనీస,Minimum
బలహీనత,Weakness
ప్రగతిశీల,Progressive
పత్రం,Document
మధ్యస్థ,Medium
ధర్మం,Dharma
ఔన్స్,Ounce
కూలిపోతుంది,Collapses
ఆలస్యం,Delay
అథ్లెటిక్,Athletic
గందరగోళం,Confusion
శాసనకర్త,Legislator
సులభతరం,Easy
అర్ధరాత్రి,Midnight
జింక,Deer
మార్గం,Way
చేయించుకుంటారు,They will do it.
వారసత్వం,Inheritance
శిఖరాగ్ర సమావేశం,Summit
కత్తి,Knife
టెలిస్కోప్,Telescope
దానం చేయండి,Donate
బ్లేడ్,Blade
బొటనవేలు,Thumb
వ్యవసాయం,Agriculture
పార్క్,Park
అమలు,Execution
రిక్రూట్,Recruit
అనుకూలంగా,In favor
మోతాదు,Dosage
సంబంధించిన,Related
ఇంటిగ్రేట్,Integrate
రేటు,Rate
పిచ్,Pitch
ప్రిస్క్రిప్షన్,Prescription
రిటైల్,Retail
దత్తత,Adoption
నెలవారీ,Monthly
ఘోరమైన,Deadly
సమాధి,Grave
తాడు,Rope
నమ్మదగిన,Reliable
లేబుల్,Label
లావాదేవీ,Transaction
పచ్చిక,Lawn
నిలకడగా,Consistently
మౌంట్,Mount
బుడగ,Bubble
క్లుప్తంగా,In short
గ్రహిస్తాయి,Understand
యువరాణి,Princess
లాగ్,Log
దుప్పటి,Blanket
నవ్వు,Laughter
రాజ్యం,Kingdom
ఎదురుచూడాలి,To be expected
బగ్,Bug
ప్రాథమిక,Basic
అంకితం,Dedication
నామినీ,Nominee
పరివర్తన,Transformation
మందిరము,Temple
భావం,Feeling
రాక,Arrival
నిరాశ,Despair
మారుతున్న,Changing
ప్రదర్శన,Display
కాలుష్యం,Pollution
పోస్టర్,Poster
గోరు,Nail
లాభాపేక్ష లేనిది,Non-profit
ఏడుస్తారు,Crying
మార్గదర్శకత్వం,Guidance
ప్రదర్శించు,Display
పెన్,Pen
అంతరాయం కలిగించు,Interrupt
నిమ్మకాయ,Lemon
దివాలా,Bankruptcy
రాజీనామా చేయండి,Resign
ఆధిపత్యం,Domination
దండయాత్ర,Invasion
పవిత్రమైనది,Sacred
భర్తీ,Replacement
చిత్రించండి,Picture it.
వేట,Hunting
వేరు,Separate
కరుగుతాయి,Melt
ఏకాభిప్రాయం,Consensus
ముద్దు,Kiss
ఫ్రెంచ్,French
హార్డ్వేర్,Hardware
రైలు,Train
చల్లని,Cold
సహచరుడు,Companion
పొడి,Dry
కొరియన్,Korean
క్యాబిన్,Cabin
భోజనం,Meal
ఉదారవాద,Liberal
పాము,Snake
పొగాకు,Tobacco
ధోరణి,Trend
ట్రిగ్గర్,Trigger
ఎక్కడైనా,Anywhere
స్వాధీనం,Possession
తిట్టు,Damn it.
గజిబిజి,Mess
శిక్షించండి,Punish
సెక్సీ,Sexy
వర్ణిస్తాయి,Describe
ఇన్పుట్,Input
అకారణంగా,Inexplicably
విస్తృతంగా,Widely
పోటీదారు,Competitor
కుదుపు,Jerk
కొత్తవాడు,Newbie
దానం,Donation
పరిపాలనా,Administrative
దాత,Donor
క్రమంగా,Gradually
పట్టించుకోవద్దు,Don't care.
"ముఖము కడుగుకొని, తలదువ్వుకొని, దుస్తులు ధరించు పద్ధతి","The method of washing the face, combing the hair, and dressing"
సంతోషించారు,Happy
పోలి ఉంటాయి,Similar
భావజాలం,Ideology
కీర్తి,Fame
గరిష్టంగా,Maximum
అవయవం,Organ
దాటవేయండి,Skip
ప్రారంభిస్తోంది,Getting started
బ్రష్,Brush
ఇటుక,Brick
ఆంత్రము,Intestine
రిజర్వేషన్,Reservation
తిరుగుబాటు,Rebellion
నిరాశ,Despair
ఓక్,Oak
చెల్లుతుంది,Valid
బోధకుడు,Instructor
రక్షించు,Protect
జాత్యహంకారం,Racism
పెన్షన్,Pension
మధుమేహం,Diabetes
మొత్తం,Total
క్లస్టర్,Cluster
ఆత్రుత,Anxiety
గంజాయి,Marijuana
పోరాటం,Fight
ప్రశంసలు,Praise
దుస్తులు,Clothing
ఆరవది,Sixth
తరచుగా,Often
ప్రేరణ,Motivation
నారింజ,Orange
కాంక్రీటు,Concrete
వంట,Cooking
కుట్ర,Conspiracy
లక్షణం,Characteristic
వ్యాన్,Van
సంస్థాగత,Institutional
వెల్లుల్లి,Garlic
తాగడం,Drinking
ప్రతిస్పందన,Response
క్రిస్టల్,Crystal
సాగదీయడం,Stretching
అనుకూల,Pro
సహచరుడు,Companion
హెలికాప్టర్,Helicopter
న్యాయవాది,Lawyer
సమీకరణం,Equation
రోమన్,Roman
అధునాతనమైన,Advanced
టైమింగ్,Timing
పోప్,Pope
ఒపేరా,Opera
నైతికమైన,Moral
మౌంట్,Mount
సూచన,Reference
ప్రేరణ,Motivation
వాకిలి,Porch
బలపరుస్తాయి,Strengthen
చూపులు,Glances
మాది,Ours
ఒడి,Lap
వ్రాయబడింది,Written
రివర్స్,Reverse
స్టార్టర్,Starter
గాయపరచు,Hurt
దీర్ఘకాలికమైన,Long-term
కొనసాగింది,Continued
ప్రత్యేకమైనది,Unique
సైనికాధికారి,Military officer
కాపీ,Copy
గొడ్డు మాంసం,Beef
విదేశాలలో,Abroad
థాంక్స్ గివింగ్,Thanksgiving
తీవ్రత,Severity
కోరిక,Desire
గుహ,Cave
నేలమాళిగ,Basement
అనుబంధించబడింది,Associated
కాకుండా,Apart from
మనోహరమైన,Charming
సంకర్షణ చెందుతాయి,Interact
దృష్టాంతం,Illustration
రోజువారీ,Daily
సారాంశం,Summary
కంటైనర్,Container
డ్రైవింగ్,Driving
విషయం,Subject
డైనమిక్,Dynamic
వ్యాయామశాల,Gymnasium
బ్యాట్,Bat
మనవి,Request
ప్రమోషన్,Promotion
అనిశ్చితి,Uncertainty
యాజమాన్యం,Ownership
అధికారికంగా,Officially
ట్యాగ్,Tag
డాక్యుమెంటరీ,Documentary
కాండం,Stem
వరద,Flood
అపరాధం,Guilt
లోపల,Inside
అలారం,Alarm
టర్కీ,Turkey
ప్రవర్తన,Behavior
నిర్ధారణ,Confirmation
విలువైన,Valuable
మింగడానికి,To swallow
ప్రారంభించండి,Get started
ఫిట్‌నెస్,Fitness
పరిమితం చేయండి,Limit
గల్ఫ్,Gulf
న్యాయవాది,Lawyer
మమ్మీ,Mommy
ఊహించని,Unexpected
భుజం తట్టండి,Pat on the shoulder
వ్యవసాయ,Agriculture
త్యాగం,Sacrifice
స్పెక్ట్రం,Spectrum
డ్రాగన్,Dragon
బాక్టీరియా,Bacteria
ఒడ్డు,Shore
పాస్టర్,Pastor
శిఖరం,Peak
ఓడ,Ship
తగినంత,Enough
అత్యాచారం,Rape
అదనంగా,Additionally
అధిగమించేందుకు,To overcome
వృత్తి,Career
కంపోజ్ చేయండి,Compose
ముక్క,Piece
ధైర్యవంతుడు,Brave man
సైనిక,Military
ఉద్దీపన,Stimulus
పేటెంట్,Patent
పొడి,Dry
కఠినమైన,Tough
గందరగోళం,Confusion
కిట్,Kit
ఇది,This
పియానో,Piano
ఆశ్చర్యకరంగా,Surprisingly
అప్పిచ్చు,Give
సరిగ్గా,Exactly
ప్రాజెక్ట్,Project
పాలించు,Rule
నిరాడంబరమైన,Modest
పంచుకున్నారు,Shared
మనస్తత్వవేత్త,Psychologist
సేవకుడు,Servant
అధిక,High
ఎలివేటర్,Elevator
హిస్పానిక్,Hispanic
దైవ సంబంధమైన,Divine
ఒకరి నుండి ఒకరికి వ్యాధి ప్రబలడం,Spread of disease from person to person
బట్,Butt
సాధారణంగా,Usually
కౌబాయ్,Cowboy
సులభం,Easy
ఉద్దేశం,Intention
కౌన్సెలింగ్,Counseling
సౌమ్యుడు,Gentleman
లయ,Rhythm
పొట్టి,Short
సంక్లిష్టత,Complexity
అయినప్పటికీ,Although
సమర్థత,Efficiency
ఒంటరి,Lonely
గణాంకపరమైన,Statistical
దీర్ఘకాలం,Long term
జాతి,Race
దృఢమైన,Strong
చెత్త,Garbage
అంకితం చేస్తారు,Dedicated
వేగం,Speed
వెంచర్,Venture
తాళం వేయండి,Lock it.
సహాయకుడు,Assistant
సూక్ష్మమైన,Subtle
రాడ్,Rod
టాప్,Top
పౌరుడు,Citizen
టీ షర్టు,T-shirt
భరిస్తున్నారు,Enduring
పౌరుడు,Citizen
బుట్ట,Basket
కఠినమైన,Tough
ఓడిపోయినవాడు,Loser
ఫ్రాంచైజీ,Franchise
సాధువు,Saint
లక్ష్యం,Goal
ప్రాసిక్యూషన్,Prosecution
కొరుకు,Bite
సాహిత్యం,Literature
సమ్మేళనం,Compound
వాస్తుశిల్పం,Architecture
చేరుకుంటాయి,Will arrive
గమ్యం,Destination
భరించవలసి ఉంటుంది,Will have to bear
ప్రావిన్స్,Province
మొత్తం,Total
ఉపన్యాసం,Lecture
చిందించు,Spill
నిజమైన,Real
మేడమీద,Upstairs
నిరసన,Protest
వర్తకం,Trade
దయచేసి,Please
అంగీకారం,Acceptance
ద్యోతకం,Revelation
మార్చ్,March
సూచిక,Index
సహకారం,Collaboration
వాక్చాతుర్యం,Rhetoric
ట్యూన్,Tune
నేలకి కొట్టటం,Hitting the ground
అనివార్యమైన,Inevitable
కోతి,Monkey
వరకు,Until
ప్రోటోకాల్,Protocol
ఉత్పాదక,Productive
ప్రిన్సిపాల్,Principal
పూర్తి,Complete
జీన్స్,Jeans
సహచరుడు,Companion
దోషి,Guilty
పెంచండి,Increase
గ్రహీత,Recipient
ఆచరణాత్మకంగా,Practically
అమరిక,Arrangement
ఒప్పించండి,Convince
అణగదొక్కండి,Undermine
అవును,Yes
గడ్డిబీడు,Ranch
స్కౌట్,Scout
పతకం,Medal
అంతులేని,Endless
అనువాదం,Translation
స్కీ,Ski
పరిరక్షణ,Conservation
నివాసస్థలం,Residence
కాంట్రాక్టర్,Contractor
ట్రైలర్,Trailer
కాడ,Pitcher
టవల్,Towel
వీడ్కోలు,Goodbye
హాని,Harm
ఉపరి లాభ బహుమానము,Bonus
నాటకీయంగా,Dramatically
శైలి,Style
కాలర్,Collar
బయటకి దారి,Way out
హుక్,Hook
ప్రవర్తనాపరమైన,Behavioral
వదిలివేయండి,Leave
గొయ్యి,Pit
స్వచ్ఛందంగా,Voluntarily
నీరసం,Boredom
హుక్,Hook
సస్పెండ్,Suspended
కొలెస్ట్రాల్,Cholesterol
మూసివేయబడింది,Closed
ప్రకటన,Advertisement
బాంబు దాడి,Bomb attack
సంప్రదించండి,Contact
ఎన్కౌంటర్,Encounter
నైపుణ్యం,Skill
సృష్టికర్త,Creator
శాంతియుతమైనది,Peaceful
కలత,Upset
అందించారు,Provided by
టాబ్లెట్,Tablet
దెబ్బ,Blow
పాలించు,Rule
ప్రయోగ,Launch
వేడెక్కడం,Overheating
ఈక్విటీ,Equity
హేతుబద్ధమైన,Rational
క్లాసిక్,Classic
ఉపయోగించుకోండి,Use it.
దేవదారు,Cedar
గత,Past
చేదు,Bitter
కాపలా,Guard
సర్జన్,Surgeon
సరసమైన,Affordable
టెన్నిస్,Tennis
కళాత్మకమైనది,Artistic
డౌన్‌లోడ్ చేయండి,Download
బాధ,Pain
ఖచ్చితత్వం,Accuracy
అక్షరాస్యత,Literacy
ఖజానా,Treasury
ప్రతిభావంతులైన,Talented
కిరీటం,Crown
ముఖ్యంగా,Especially
బేర్,Bear
అదృశ్య,Invisible
సార్జెంట్,Sergeant
నియంత్రణ,Control
బొటనవేలు,Thumb
కాలనీ,Colony
నడవడం,Walking
అందుబాటులో,Available
తిట్టు,Damn it.
అనుసంధానం,Connection
జీవిత భాగస్వామి,Spouse
అవార్డు,Award
ఉత్సాహం,Excitement
నివాసం,Residence
బోల్డ్,Bold
కౌమారదశ,Adolescence
గ్రీకు,Greek
బొమ్మ,Doll
ఆక్సిజన్,Oxygen
ఫైనాన్స్,Finance
గురుత్వాకర్షణ,Gravity
ఫంక్షనల్,Functional
రాజభవనం,Palace
ప్రతిధ్వని,Echo
పత్తి,Cotton
రక్షించు,Protect
అంచనా వేయబడింది,Estimated
కార్యక్రమం,Program
ఆమోదించు,Accept
శాసనకర్త,Legislator
సంకల్పం,Will
ఫ్లాష్,Flash
ఏకకాలంలో,Simultaneously
డైనమిక్స్,Dynamics
షెల్,Shell
సూచన,Reference
ఫ్రేమ్,Frame
పరిపాలించు,Rule
హడావిడి,Rush
క్రైస్తవ మతం,Christianity
దృష్టి మరల్చండి,Distract
నిషేధించండి,Ban
ఆరోపించారు,Allegedly
శాసనం,Statute
విలువ,Value
జీవశాస్త్రం,Biology
రిపబ్లికన్,Republican
అనుచరుడు,Follower
దుష్ట,Evil
స్పష్టంగా,Clearly
ముందు,Before
అంగీకరిస్తున్నాను,Agree
అర్హులు,Eligible
చిత్రం,Image
శిల,Rock
ఉచ్చు,Trap
సమ్మతి,Consent
పంపు,Send
క్రిందికి,Down
రక్తసిక్తమైనది,Bloody
ద్వేషించు,Hate
అప్పుడప్పుడు,Occasionally
ట్రంక్,Trunk
నిషేదించుట,Prohibition
స్థిరమైన,Stable
బొడ్డు,Belly
బ్యాంకింగ్,Banking
గాడిద,Donkey
జర్నలిజం,Journalism
ఫ్లాష్,Flash
సగటు,Average
అడ్డంకి,Obstacle
శిఖరం,Peak
నయం,Heal
బాస్టర్డ్,Bastard
ఉల్లాసమైన,Cheerful
క్షమాపణ,Apology
కణితి,Tumor
వాస్తుశిల్పి,Architect
మణికట్టు,Wrist
నౌకాశ్రయం,Harbor
అందగాడు,Handsome
బుల్ షిట్,Bullshit
రాజ్యం,Kingdom
పందెం,Bet
ట్విస్ట్,Twist
ఇన్స్పెక్టర్,Inspector
నిఘా,Surveillance
గాయం,Injury
పునర్నిర్మాణం,Reconstruction
శృంగారం,Romance
స్థూల,Gross
గడువు,Deadline
వయస్సు,Age
క్లాసికల్,Classical
తెలియచేస్తాయి,They will inform
పరిహారం,Compensation
కీటకం,Insect
చర్చ,Discussion
అవుట్పుట్,Output
పార్లమెంటు,Parliament
సూట్,Suit
వ్యతిరేకించారు,Opposed
రెట్లు,Fold
వేరు,Separate
భూతం,Demon
ఆహారపు,Food
నిర్మాణ,Construction
కాకుండా,Apart from
సమానత్వం,Equality
తార్కిక,Logical
సంభావ్యత,Probability
వేచి ఉండండి,Wait.
ఉదారంగా,Generous
సముపార్జన,Acquisition
అదుపు,Control
రాజీ,Compromise
అభినందించడానికి,To congratulate
చెత్త,Garbage
న్యాయపరమైన,Legal
భూకంపం,Earthquake
పిచ్చివాడు,Crazy
వాస్తవికమైనది,Realistic
మేల్కొలపండి,Wake up.
సమీకరించటం,Gathering
అవసరం,Need
కొమ్ము,Horn
పరామితి,Parameter
పట్టు,Silk
సవరించు,Edit
సిగ్నల్,Signal
స్పాన్సర్,Sponsor
గణితం,Mathematics
హాలు,Hall
ఆఫ్రికాకు చెందిన అమెరికా జాతీయుడు,African American
ఏదైనా,Anything
బాధ్యత,Responsibility
క్రాల్,Crawl
సిద్ధాంతపరమైన,Theoretical
ఖండించండి,Deny
ద్రవం,Liquid
మాతృభూమి,Motherland
సాంకేతిక,Technical
పరీక్ష,Test
యాంకర్,Anchor
స్పెల్,Spell
పరిశీలిస్తున్నారు,Considering
చేతనైన,Able
విటమిన్,Vitamin
తెలిసిన,Known
బందీ,Captive
రిజర్వ్,Reserve
చురుకుగా,Active
మిల్లు,Mill
యుక్తవయస్సు,Puberty
గౌరవం,Respect
తిరిగి పొందండి,Retrieve
ప్రాసెసింగ్,Processing
సెంటిమెంట్,Sentiment
సమర్పణ,Submission
మౌఖిక,Oral
ఒప్పించింది,Convinced
ఫోటోగ్రఫీ,Photography
నాణెం,Coin
ల్యాప్టాప్,Laptop
బౌన్స్,Bounce
మంచితనం,Goodness
అనుబంధం,Appendix
పంచ్,Punch
పగిలిపోతుంది,It will burst.
తేనెటీగ,Bee
ఆశీర్వాదం,Blessing
ఆదేశం,Command
నిరంతర,Continuous
పైన,Above
ల్యాండింగ్,Landing
మరమ్మత్తు,Repair
ఆందోళన,Anxiety
కర్మ,Karma
స్నానం,Bath
చాటుగా,Secretly
చారిత్రాత్మకంగా,Historically
మట్టి,Clay
స్కాన్ చేయండి,Scan
రిమైండర్,Reminder
ఆమెది,Hers
బానిసత్వం,Slavery
సూపర్వైజర్,Supervisor
పరిమాణం,Size
ఒలింపిక్స్,Olympics
ఆహ్లాదకరమైన,Pleasant
వాలు,Slope
లంగా,Skirt
అవుట్లెట్,Outlet
కనాతి,Kanati
ప్రకటన,Advertisement
ముద్ర,Seal
రోగనిరోధక,Immune
మారండి,Switch
క్యాలెండర్,Calendar
పేరా,Paragraph
ఒకేలా,Same
క్రెడిట్,Credit
విచారం,Sadness
తపన,Quest
ఫ్లాట్,Flat
వ్యవస్థాపకుడు,Founder
పేర్కొనవచ్చు,Can be specified
పొరపాట్లు,Mistakes
మట్టి,Clay
మధ్యాహ్నం,Afternoon
చివరి,Last
స్ట్రిప్,Strip
మోచేయి,Elbow
అసాధారణ,Unusual
ఉహ్-హుహ్,Uh-huh
ఐక్యత,Unity
అద్దెకు,For rent
మార్చటానికి,To change
విమానం,Airplane
పోర్ట్‌ఫోలియో,Portfolio
రహస్యమైన,Mysterious
రుచికరమైన,Delicious
వాయువ్యం,Northwest
చెమట,Sweat
లోతైన,Deep
త్యాగం,Sacrifice
నిధి,Treasure
పిండి,Flour
తేలికగా,Easily
ర్యాలీ,Rally
డిఫాల్ట్,Default
కలిసి,Together
సాదా,Plain
కౌగిలింత,Hug
ఒంటరిగా,Alone
అన్వేషణ,Search
సురక్షితమైన,Safe
అవయవం,Organ
నమోదు చేయండి,Register
బయటి,Outside
చార్టర్,Charter
నైరుతి,Southwest
తప్పించుకుంటారు,Escape
రంగస్థలం,Stage
మంత్రగత్తె,Witch
రాబోయే,Upcoming
నలభై,Forty
ఏదో ఒక రోజు,Someday
ఏకం,Unite
మర్యాద,Courtesy
విగ్రహం,Statue
పిడికిలి,Fist
కోట,Castle
ఖచ్చితమైన,Accurate
స్క్వాడ్,Squad
క్రూయిజ్,Cruise
తమాషా,Funny
చట్టబద్ధంగా,Legally
రాయబార కార్యాలయం,Embassy
సహనం,Patience
మధ్యస్థ,Medium
తద్వారా,So that
పొద,Shrub
ఊదా,Purple
తోటివాడు,Fellow
విద్యుత్,Electricity
దుస్తులను,Clothes
పంజరం,Cage
పదవీ విరమణ చేశారు,Retired
సొరచేప,Shark
లాబీ,Lobby
కాలిబాట,Trail
సమీపంలో,Nearby
రన్నర్,Runner
చీలమండ,Ankle
ఆకర్షణ,Attraction
అవివేకి,Foolish
కృత్రిమ,Artificial
దయ,Kindness
స్వదేశీ,Indigenous
చెంపదెబ్బ,Slap
ట్యూన్,Tune
నర్తకి,Dancer
కొవ్వొత్తి,Candle
లైంగికంగా,Sexually
సూది,Needle
దాచబడింది,Hidden
వృత్తాంతం,Story
శివారు,Suburb
విషపూరితమైన,Poisonous
అంతర్లీన,Underlying
నమోదు చేయు పరికరము,Recording device
మోహరించేందుకు,To deploy
అరంగేట్రం,Debut
నక్షత్రం,Star
పరిమాణం,Size
అనుమానం,Doubt
అనుకూల,Pro
వలసవాద,Colonial
చిహ్నం,Icon
అమ్మమ్మ,Grandma
సమాచారం,Information
అధికార పరిధి,Jurisdiction
ఇరానియన్,Iranian
సీనియర్,Senior
కవాతు,Parade
ముద్ర,Seal
ఆర్కైవ్,Archive
బహుమతులు ఇచ్చారు,Gifts were given.
ఆవేశం,Fury
బాహ్య,Exterior
ముగింపు,Conclusion
లూప్,Loop
పూర్తిగా,Completely
వెంబడించు,Follow
దహనం,Burning
రిసెప్షన్,Reception
స్థానిక,Local
నలిపివేయు,Crush
ఆవరణ,Premises
భావించండి,Suppose
ఆటోమేటిక్,Automatic
తిమింగలం,Whale
యాంత్రిక,Mechanical
విశ్వసనీయత,Reliability
హరించడం,Draining
డ్రిఫ్ట్,Drift
విధేయత,Obedience
ఆశాజనకంగా,Hopefully
పోటు,Tide
యాత్రికుడు,Traveler
దుఃఖం,Sadness
రూపకం,Metaphor
పుర్రె,Skull
ముసుగులో,Under the guise
చికిత్సకుడు,Therapist
బ్యాకప్,Backup
పని ప్రదేశం,Workplace
ప్రవృత్తి,Instinct
ఎగుమతి,Export
రక్తస్రావం,Bleeding
షాక్,Shock
ఏడవ,Seventh
స్థిర,Fixed
ప్రసార,Broadcast
బహిర్గతం చేయండి,Reveal
అమలు,Execution
స్నేహితుడు,Friend
నవ్వు,Laughter
పంపు,Send
సాంద్రత,Density
దిద్దుబాటు,Correction
ప్రతినిధి,Representative
ఎగిరి దుముకు,Jump
మరమ్మత్తు,Repair
కాస్త,A little
ఉపశమనం,Relief
సహచరుడు,Companion
బ్రష్,Brush
కారిడార్,Corridor
రష్యన్,Russian
అత్యుత్సాహం,Enthusiasm
పొడిగించబడింది,Extended
రూట్,Root
సరే,Okay
భయాందోళనలు,Panic attacks
ప్యాడ్,Pad
వేలం వేయండి,Place an auction
తేలికపాటి,Lightweight
ఉత్పాదకత,Productivity
అంచనా,Estimate
మడత,Folding
ఓటమి,Defeat
రైలుమార్గం,Railway
ఘనీభవించిన,Frozen
తగ్గించడానికి,To reduce
మధ్య,Middle
తనిఖీ,Check
టాక్సీ,Taxi
ఊహించబడింది,Expected
అర్ధంలేనిది,Nonsense
అల్లరి,Riot
డ్రాఫ్ట్,Draft
రైడర్,Rider
వేదాంతశాస్త్రం,Theology
అద్భుతమైన,Excellent
యాస,Accent
ఆహ్వానం,Invitation
ప్రత్యుత్తరం ఇవ్వండి,Reply
ఇజ్రాయెల్,Israel
అబద్ధాలకోరు,Liar
పర్యవేక్షించేందుకు,To supervise
ఇబ్బందికరమైన,Embarrassing
నమోదు,Registration
శివారు,Suburb
హ్యాండిల్,Handle
ఊపందుకుంటున్నది,Gaining momentum
తక్షణమే,Immediately
గుమాస్తా,Clerk
గడ్డం,Beard
హాకీ,Hockey
లేజర్,Laser
ప్రతిపాదన,Proposal
దోచుకోండి,Loot
పుంజం,Beam
పూర్వీకుడు,Ancestor
సృజనాత్మకత,Creativity
పద్యం,Poem
సాధారణం,Common
అభ్యంతరం,Objection
తెలివైన,Intelligent
ఇచ్చిన,Given
త్రోయు,Throw
విప్లవకారుడు,Revolutionary
కార్బోహైడ్రేట్,Carbohydrate
ఆవిరి,Steam
నివేదించబడింది,Reported
చూపు,Show
నుదిటి,Forehead
పునఃప్రారంభం,Restart
స్లయిడ్,Slide
గొర్రె,Sheep
మంచిది,Good
కార్పెట్,Carpet
గుడ్డ,Cloth
అంతర్గత,Internal
పూర్తి సమయం,Full time
నడుస్తోంది,Running
ప్రశ్నాపత్రం,Questionnaire
రాజీ,Compromise
నిష్క్రమణ,Exit
తరపున,On behalf of
గ్రాఫ్,Graph
దౌత్యపరమైన,Diplomatic
దొంగ,Thief
మూలిక,Herb
సబ్సిడీ,Subsidy
తారాగణం,Cast
శిలాజ,Fossil
గస్తీ,Patrol
పల్స్,Pulse
మెకానిక్,Mechanic
పశువులు,Cattle
స్క్రీనింగ్,Screening
కొనసాగుతోంది,Continuing
ఎన్నికల,Election
అనుకోవచ్చు,Maybe
గౌరవం,Respect
ప్రవక్త,Prophet
వ్యాఖ్యానం,Commentary
క్రమబద్ధీకరించు,Sort
వ్యాప్తి,Spread
అందిస్తోంది,Serving
సురక్షితంగా,Safely
ఇంటి పని,Homework
ఆరోపించారు,Allegedly
ఆండ్రాయిడ్,Android
ఆల్ఫా,Alpha
చొప్పించు,Insert
మరణము,Death
వాదించండి,Argue
ఏనుగు,Elephant
పూర్తిగా,Completely
బాధించింది,Hurt
ఖండం,Continent
గుణం,Quality
పర్యావరణ వ్యవస్థ,Ecosystem
వదిలివేయండి,Leave
సమీపంలో,Nearby
ఆలివ్,Olive
సిండ్రోమ్,Syndrome
కనీస,Minimum
క్యాచ్,Catch
నైరూప్య,Abstract
ఆరోపణ,Accusation
వస్తున్నది,Coming
గుంట,Sock
తీసుకోవడం,Taking
షటిల్,Shuttle
మెరుగైన,Better
లెక్కింపు,Calculation
వినూత్న,Innovative
జనాభా,Population
వసతి కల్పిస్తాయి,Provide accommodation
దవడ,Jaw
అన్యాయం,Injustice
విషాదకరమైన,Tragic
కలిగి ఉంటాయి,Have
వేగంగా,Fast
పోషణ,Nutrition
గురువు,Teacher
వైఖరి,Attitude
కుందేలు,Rabbit
విరామం,Break
చుక్క,Drop
సహకారి,Collaborator
సహకరించిన,Collaborated
డిస్క్,Disk
సంకోచించండి,Feel free.
సంబంధించి,Regarding
నేరం,Crime
దోపిడీ,Robbery
బలవంతం,Force
సంభావ్యత,Probability
తోబుట్టువు,Sibling
